dataset,method,role,domain,budget_detail,valid_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
RSAR,B_REG,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,22.021616001923878,0.9901334423999446,1.4010076721509297
RSAR,B_REG,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,22.575841347376507,1.2387143913514158,3.5014773408571878
RSAR,B_REG,ema,chaff,common_1detector_epoch,3,3,42;43;44,46.71991765499115,0.27075346923745985,-0.4731714725494385
RSAR,B_REG,ema,clean,common_1detector_epoch,3,3,42;43;44,52.47052311897278,0.2635894393083548,-0.6694555282592773
RSAR,B_REG,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,52.53379146258036,0.8027738821931447,-0.2799232800801595
RSAR,B_REG,ema,noise_suppression,common_1detector_epoch,3,3,42;43;44,18.704598148663838,0.50837664275155,2.363922198613485
RSAR,B_REG,ema,point_target,common_1detector_epoch,3,3,42;43;44,50.827632347742714,0.6808108655229973,-0.756378968556722
RSAR,B_REG,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,16.166947782039642,1.1377636792163945,1.7943009734153748
RSAR,C,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,21.612394352753956,1.1364114436974055,0.9917860229810079
RSAR,C,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,23.09349775314331,0.7782944456821218,4.019133746623993
RSAR,C,ema,chaff,common_1detector_epoch,3,3,42;43;44,46.76922162373861,0.2691660207390707,-0.4238675038019816
RSAR,C,ema,clean,common_1detector_epoch,3,3,42;43;44,52.12430556615194,0.9556020838793654,-1.015673081080119
RSAR,C,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,52.027072509129844,0.30318721547032274,-0.7866422335306803
RSAR,C,ema,noise_suppression,common_1detector_epoch,3,3,42;43;44,18.32217276096344,0.2526015883568408,1.981496810913086
RSAR,C,ema,point_target,common_1detector_epoch,3,3,42;43;44,50.750142335891724,1.294711773673032,-0.8338689804077148
RSAR,C,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,19.01048719882965,0.7952298954426268,4.637840390205383
RSAR,C,student,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,12.251683821280798,2.314460914527119,-8.368924508492151
RSAR,C,student,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,12.853149076302847,1.0919141059361086,-6.221214930216472
RSAR,C,student,chaff,common_1detector_epoch,3,3,42;43;44,29.28632398446401,0.8051090934888975,-17.90676514307658
RSAR,C,student,clean,common_1detector_epoch,3,3,42;43;44,32.67151812712351,1.0543086435173235,-20.46846052010854
RSAR,C,student,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,31.703293323516846,0.29278490876896485,-21.110421419143677
RSAR,C,student,noise_suppression,common_1detector_epoch,3,3,42;43;44,18.236590921878815,0.7037538558819517,1.8959149718284607
RSAR,C,student,point_target,common_1detector_epoch,3,3,42;43;44,31.969446937243145,1.1947206950569154,-19.614564379056294
RSAR,C,student,smart_suppression,common_1detector_epoch,3,3,42;43;44,18.147554000218708,1.0774537386139702,3.774907191594442
RSAR,D,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,17.19217797120412,1.7426945311626578,-3.428430358568827
RSAR,D,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,17.249025404453278,0.4633683765186513,-1.82533860206604
RSAR,D,ema,chaff,common_1detector_epoch,3,3,42;43;44,46.034982800483704,0.42605883411502193,-1.1581063270568848
RSAR,D,ema,clean,common_1detector_epoch,3,3,42;43;44,51.03671153386434,0.07441262673052051,-2.1032671133677163
RSAR,D,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,51.30290389060974,0.4285372066036395,-1.5108108520507812
RSAR,D,ema,noise_suppression,common_1detector_epoch,3,3,42;43;44,17.237878839174908,0.7057457386103954,0.8972028891245524
RSAR,D,ema,point_target,common_1detector_epoch,3,3,42;43;44,50.04348953564962,0.2917117045515422,-1.540521780649821
RSAR,D,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,14.799302816390991,0.8048050266237867,0.42665600776672363
RSAR,D,student,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,6.208637108405431,2.5580440162093603,-14.411971221367518
RSAR,D,student,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,4.93504839638869,1.2658230927944891,-14.139315610130629
RSAR,D,student,chaff,common_1detector_epoch,3,3,42;43;44,28.042206168174744,5.43153993454053,-19.150882959365845
RSAR,D,student,clean,common_1detector_epoch,3,3,42;43;44,33.46146643161774,4.22382743191237,-19.67851221561432
RSAR,D,student,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,32.132490475972496,5.811101803021696,-20.68122426668803
RSAR,D,student,noise_suppression,common_1detector_epoch,3,3,42;43;44,9.881805628538132,1.2175925808706185,-6.458870321512222
RSAR,D,student,point_target,common_1detector_epoch,3,3,42;43;44,31.12890124320984,3.82729503201654,-20.4551100730896
RSAR,D,student,smart_suppression,common_1detector_epoch,3,3,42;43;44,10.06890262166659,1.7299255615974731,-4.303744186957677
RSAR,E,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,23.286994298299152,0.2331284702067822,2.6663859685262046
RSAR,E,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,24.80520009994507,0.4533397156069783,5.730836093425751
