dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,F,42,ema,bridge,0.388,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,42,ema,harbor,0.399,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,43,ema,ship,0.767,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,43,ema,aircraft,0.613,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,43,ema,car,0.76,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,43,ema,tank,0.159,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,43,ema,bridge,0.383,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,43,ema,harbor,0.381,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,44,ema,ship,0.766,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,44,ema,aircraft,0.643,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,44,ema,car,0.761,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,44,ema,tank,0.153,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,44,ema,bridge,0.384,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,44,ema,harbor,0.394,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,ship,0.679,printed class_ap.txt (typically 3 decimals),0.679,0.679,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,aircraft,0.601,printed class_ap.txt (typically 3 decimals),0.601,0.601,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,car,0.693,printed class_ap.txt (typically 3 decimals),0.693,0.693,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,tank,0.168,printed class_ap.txt (typically 3 decimals),0.168,0.168,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,bridge,0.368,printed class_ap.txt (typically 3 decimals),0.368,0.368,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,harbor,0.323,printed class_ap.txt (typically 3 decimals),0.323,0.323,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,42,ema,ship,0.673,printed class_ap.txt (typically 3 decimals),0.673,0.673,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/B/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,42,ema,aircraft,0.638,printed class_ap.txt (typically 3 decimals),0.638,0.638,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/B/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,42,ema,car,0.692,printed class_ap.txt (typically 3 decimals),0.692,0.692,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/B/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,42,ema,tank,0.116,printed class_ap.txt (typically 3 decimals),0.116,0.116,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/B/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,42,ema,bridge,0.331,printed class_ap.txt (typically 3 decimals),0.331,0.331,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/B/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,42,ema,harbor,0.329,printed class_ap.txt (typically 3 decimals),0.329,0.329,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/B/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,43,ema,ship,0.674,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_43/0f98a48/methods/B/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,43,ema,aircraft,0.629,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_43/0f98a48/methods/B/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,B,43,ema,car,0.686,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_43/0f98a48/methods/B/eval_full_chaff_ids_v1/class_ap.txt
