dataset,domain,method,seed,role,class_name,native_AP50,AP50,AP50_percent,status,precision,evidence
DIOR,brightness,B,43,ema,groundtrackfield,0.22,0.22,22.0,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,harbor,0.104,0.104,10.4,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,overpass,0.158,0.158,15.8,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,ship,0.667,0.667,66.7,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,stadium,0.194,0.194,19.400000000000002,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,storagetank,0.346,0.346,34.599999999999994,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,tenniscourt,0.532,0.532,53.2,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,trainstation,0.129,0.129,12.9,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,vehicle,0.275,0.275,27.500000000000004,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,ema,windmill,0.088,0.088,8.799999999999999,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,airplane,0.329,0.329,32.9,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,airport,0.012,0.012,1.2,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,baseballfield,0.489,0.489,48.9,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,basketballcourt,0.302,0.302,30.2,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,bridge,0.091,0.091,9.1,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,chimney,0.359,0.359,35.9,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
