dataset,domain,method,role,comparison_group,n_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
RSAR,am_noise_vertical,AASFOD,student,common_1epoch,0,3,,,,
RSAR,am_noise_vertical,B,ema,common_1epoch,3,3,42;43;44,23.450805246829987,0.21050753035318154,4.376441240310669
RSAR,am_noise_vertical,B,student,common_1epoch,3,3,42;43;44,11.529842764139175,2.1166981430298724,-7.544521242380142
RSAR,am_noise_vertical,B_REG,ema,common_1epoch,0,3,,,,
RSAR,am_noise_vertical,C,ema,common_1epoch,3,3,42;43;44,23.09349775314331,0.7782944456821218,4.019133746623993
RSAR,am_noise_vertical,C,student,common_1epoch,3,3,42;43;44,12.853149076302847,1.0919141059361086,-6.221214930216472
RSAR,am_noise_vertical,D,ema,common_1epoch,3,3,42;43;44,17.249025404453278,0.4633683765186513,-1.82533860206604
RSAR,am_noise_vertical,D,student,common_1epoch,3,3,42;43;44,4.93504839638869,1.2658230927944891,-14.139315610130629
RSAR,am_noise_vertical,E,ema,common_1epoch,3,3,42;43;44,24.80520009994507,0.4533397156069783,5.730836093425751
RSAR,am_noise_vertical,E,student,common_1epoch,3,3,42;43;44,13.025209059317907,3.0223234687634664,-6.049154947201411
RSAR,am_noise_vertical,F,ema,common_1epoch,3,3,42;43;44,16.160353024800617,1.8759983478374884,-2.914010981718699
RSAR,am_noise_vertical,F,student,common_1epoch,3,3,42;43;44,5.398775512973468,1.7862090475287178,-13.67558849354585
RSAR,am_noise_vertical,F_text_only,ema,common_1epoch,3,3,42;43;44,15.941780308882395,0.8296901155719112,-3.1325836976369223
RSAR,am_noise_vertical,F_veto_only,ema,common_1epoch,3,3,42;43;44,24.424031873544056,0.2998614703692136,5.349667867024739
RSAR,am_noise_vertical,IRG,ema,common_1epoch,3,3,42;43;44,24.656572937965393,0.6710719447439595,5.582208931446075
RSAR,am_noise_vertical,IRG,student,common_1epoch,3,3,42;43;44,8.179652194182077,0.40468437895023607,-10.89471181233724
RSAR,am_noise_vertical,LPLD,ema,common_1epoch,3,3,42;43;44,20.5753689010938,2.70973841685779,1.5010048945744832
RSAR,am_noise_vertical,LPLD,student,common_1epoch,3,3,42;43;44,5.190490807096164,0.7893394320135847,-13.883873199423155
RSAR,am_noise_vertical,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,
RSAR,am_noise_vertical,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,
RSAR,am_noise_vertical,SFUT,ema,common_1epoch,3,3,42;43;44,22.676911453406017,0.6196681599616815,3.6025474468866983
RSAR,am_noise_vertical,SFUT,student,common_1epoch,3,3,42;43;44,8.457965155442556,1.523857873427651,-10.616398851076761
RSAR,am_noise_vertical,SFYOLO,ema,extended_2epoch,0,3,,,,
RSAR,am_noise_vertical,SFYOLO,student,extended_2epoch,0,3,,,,
RSAR,chaff,A,source,common_1epoch,1,1,42,47.19308912754059,,0.0
RSAR,chaff,AASFOD,ema,common_1epoch,2,3,43;44,15.118879079818726,1.9529774855311266,-32.07421004772186
RSAR,chaff,AASFOD,student,common_1epoch,2,3,43;44,8.88463631272316,0.8037720112391323,-38.30845281481743
RSAR,chaff,B,ema,common_1epoch,3,3,42;43;44,46.493525306383766,0.3116493931063123,-0.6995638211568197
RSAR,chaff,B,student,common_1epoch,3,3,42;43;44,24.193111062049866,1.5877305117911227,-22.999978065490723
RSAR,chaff,B_REG,ema,common_1epoch,0,3,,,,
RSAR,chaff,C,ema,common_1epoch,3,3,42;43;44,46.76922162373861,0.2691660207390707,-0.4238675038019816
RSAR,chaff,C,student,common_1epoch,3,3,42;43;44,29.28632398446401,0.8051090934888975,-17.90676514307658
RSAR,chaff,D,ema,common_1epoch,3,3,42;43;44,46.034982800483704,0.42605883411502193,-1.1581063270568848
RSAR,chaff,D,student,common_1epoch,3,3,42;43;44,28.042206168174744,5.43153993454053,-19.150882959365845
RSAR,chaff,E,ema,common_1epoch,3,3,42;43;44,46.538240710894264,0.21513993604632015,-0.6548484166463217
RSAR,chaff,E,student,common_1epoch,3,3,42;43;44,22.39817629257838,0.8493657134763921,-24.794912834962208
RSAR,chaff,F,ema,common_1epoch,3,3,42;43;44,44.838289419809975,0.1961254434308016,-2.3547997077306113
RSAR,chaff,F,student,common_1epoch,3,3,42;43;44,22.165006895860035,4.971736642954455,-25.028082231680553
RSAR,chaff,F_text_only,ema,common_1epoch,3,3,42;43;44,44.95209753513336,0.2388190271932329,-2.2409915924072266
RSAR,chaff,F_veto_only,ema,common_1epoch,3,3,42;43;44,46.56147658824921,0.14457544737977393,-0.6316125392913818
RSAR,chaff,IRG,ema,common_1epoch,3,3,42;43;44,49.04083808263143,0.8086197746172764,1.8477489550908406
RSAR,chaff,IRG,student,common_1epoch,3,3,42;43;44,19.3618506193161,2.404025963617486,-27.831238508224487
RSAR,chaff,LPLD,ema,common_1epoch,3,3,42;43;44,47.9141891002655,0.20738229184658202,0.7210999727249146
RSAR,chaff,LPLD,student,common_1epoch,3,3,42;43;44,21.538741886615753,2.46278350983471,-25.654347240924835
RSAR,chaff,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,
RSAR,chaff,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,
RSAR,chaff,SFUT,ema,common_1epoch,3,3,42;43;44,48.426905274391174,0.16732954861131655,1.233816146850586
RSAR,chaff,SFUT,student,common_1epoch,3,3,42;43;44,21.846558153629303,2.9738143969343547,-25.346530973911285
RSAR,chaff,SFYOLO,ema,extended_2epoch,0,3,,,,
RSAR,chaff,SFYOLO,student,extended_2epoch,0,3,,,,
RSAR,clean,A,source,common_1epoch,1,1,42,53.139978647232056,,0.0
RSAR,clean,AASFOD,ema,common_1epoch,3,3,42;43;44,15.744317571322123,2.0902126541996906,-37.395661075909935
RSAR,clean,AASFOD,student,common_1epoch,3,3,42;43;44,10.813339551289877,2.128074298662155,-42.32663909594218
RSAR,clean,B,ema,common_1epoch,3,3,42;43;44,52.44467258453369,0.43453705689492983,-0.6953060626983643
RSAR,clean,B,student,common_1epoch,3,3,42;43;44,28.337706128756206,1.71970085018207,-24.80227251847585
RSAR,clean,B_REG,ema,common_1epoch,0,3,,,,
RSAR,clean,C,ema,common_1epoch,3,3,42;43;44,52.12430556615194,0.9556020838793654,-1.015673081080119
RSAR,clean,C,student,common_1epoch,3,3,42;43;44,32.67151812712351,1.0543086435173235,-20.46846052010854
RSAR,clean,D,ema,common_1epoch,3,3,42;43;44,51.03671153386434,0.07441262673052051,-2.1032671133677163
RSAR,clean,D,student,common_1epoch,3,3,42;43;44,33.46146643161774,4.22382743191237,-19.67851221561432
