dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,SFUT,44,ema,tank,0.173,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,44,ema,bridge,0.404,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,44,ema,harbor,0.439,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,ship,0.679,printed class_ap.txt (typically 3 decimals),0.679,0.679,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,aircraft,0.601,printed class_ap.txt (typically 3 decimals),0.601,0.601,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,car,0.693,printed class_ap.txt (typically 3 decimals),0.693,0.693,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,tank,0.168,printed class_ap.txt (typically 3 decimals),0.168,0.168,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,bridge,0.368,printed class_ap.txt (typically 3 decimals),0.368,0.368,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,harbor,0.323,printed class_ap.txt (typically 3 decimals),0.323,0.323,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,42,ema,ship,0.705,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,42,ema,aircraft,0.628,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
