dataset,corruption,method,ckpt_role,class_name,AP50,mAP50
DIOR,cloudy,D,ema,expressway-toll-station,0.181,0.28670230507850647
DIOR,cloudy,D,ema,dam,0.091,0.28670230507850647
DIOR,cloudy,D,ema,golffield,0.264,0.28670230507850647
DIOR,cloudy,D,ema,groundtrackfield,0.244,0.28670230507850647
DIOR,cloudy,D,ema,harbor,0.121,0.28670230507850647
DIOR,cloudy,D,ema,overpass,0.179,0.28670230507850647
DIOR,cloudy,D,ema,ship,0.627,0.28670230507850647
DIOR,cloudy,D,ema,stadium,0.261,0.28670230507850647
DIOR,cloudy,D,ema,storagetank,0.465,0.28670230507850647
DIOR,cloudy,D,ema,tenniscourt,0.615,0.28670230507850647
DIOR,cloudy,D,ema,trainstation,0.089,0.28670230507850647
DIOR,cloudy,D,ema,vehicle,0.287,0.28670230507850647
DIOR,cloudy,D,ema,windmill,0.208,0.28670230507850647
DIOR,cloudy,E,ema,airplane,0.471,0.2975709140300751
DIOR,cloudy,E,ema,airport,0.091,0.2975709140300751
DIOR,cloudy,E,ema,baseballfield,0.527,0.2975709140300751
DIOR,cloudy,E,ema,basketballcourt,0.362,0.2975709140300751
DIOR,cloudy,E,ema,bridge,0.07,0.2975709140300751
DIOR,cloudy,E,ema,chimney,0.428,0.2975709140300751
DIOR,cloudy,E,ema,expressway-service-area,0.277,0.2975709140300751
DIOR,cloudy,E,ema,expressway-toll-station,0.186,0.2975709140300751
DIOR,cloudy,E,ema,dam,0.091,0.2975709140300751
DIOR,cloudy,E,ema,golffield,0.271,0.2975709140300751
DIOR,cloudy,E,ema,groundtrackfield,0.239,0.2975709140300751
DIOR,cloudy,E,ema,harbor,0.102,0.2975709140300751
DIOR,cloudy,E,ema,overpass,0.181,0.2975709140300751
DIOR,cloudy,E,ema,ship,0.7,0.2975709140300751
DIOR,cloudy,E,ema,stadium,0.257,0.2975709140300751
DIOR,cloudy,E,ema,storagetank,0.475,0.2975709140300751
DIOR,cloudy,E,ema,tenniscourt,0.616,0.2975709140300751
DIOR,cloudy,E,ema,trainstation,0.091,0.2975709140300751
DIOR,cloudy,E,ema,vehicle,0.299,0.2975709140300751
DIOR,cloudy,E,ema,windmill,0.217,0.2975709140300751
DIOR,cloudy,F,ema,airplane,0.423,0.2878604531288147
DIOR,cloudy,F,ema,airport,0.03,0.2878604531288147
DIOR,cloudy,F,ema,baseballfield,0.525,0.2878604531288147
DIOR,cloudy,F,ema,basketballcourt,0.357,0.2878604531288147
DIOR,cloudy,F,ema,bridge,0.071,0.2878604531288147
DIOR,cloudy,F,ema,chimney,0.432,0.2878604531288147
DIOR,cloudy,F,ema,expressway-service-area,0.269,0.2878604531288147
DIOR,cloudy,F,ema,expressway-toll-station,0.183,0.2878604531288147
DIOR,cloudy,F,ema,dam,0.091,0.2878604531288147
DIOR,cloudy,F,ema,golffield,0.261,0.2878604531288147
DIOR,cloudy,F,ema,groundtrackfield,0.243,0.2878604531288147
DIOR,cloudy,F,ema,harbor,0.119,0.2878604531288147
DIOR,cloudy,F,ema,overpass,0.18,0.2878604531288147
DIOR,cloudy,F,ema,ship,0.628,0.2878604531288147
DIOR,cloudy,F,ema,stadium,0.26,0.2878604531288147
DIOR,cloudy,F,ema,storagetank,0.465,0.2878604531288147
DIOR,cloudy,F,ema,tenniscourt,0.614,0.2878604531288147
DIOR,cloudy,F,ema,trainstation,0.11,0.2878604531288147
DIOR,cloudy,F,ema,vehicle,0.288,0.2878604531288147
DIOR,cloudy,F,ema,windmill,0.207,0.2878604531288147
DIOR,contrast,A,source,airplane,0.493,0.2816031277179718
DIOR,contrast,A,source,airport,0.011,0.2816031277179718
DIOR,contrast,A,source,baseballfield,0.525,0.2816031277179718
DIOR,contrast,A,source,basketballcourt,0.355,0.2816031277179718
DIOR,contrast,A,source,bridge,0.113,0.2816031277179718
DIOR,contrast,A,source,chimney,0.375,0.2816031277179718
DIOR,contrast,A,source,expressway-service-area,0.244,0.2816031277179718
DIOR,contrast,A,source,expressway-toll-station,0.19,0.2816031277179718
DIOR,contrast,A,source,dam,0.091,0.2816031277179718
DIOR,contrast,A,source,golffield,0.235,0.2816031277179718
DIOR,contrast,A,source,groundtrackfield,0.223,0.2816031277179718
DIOR,contrast,A,source,harbor,0.136,0.2816031277179718
DIOR,contrast,A,source,overpass,0.162,0.2816031277179718
DIOR,contrast,A,source,ship,0.676,0.2816031277179718
DIOR,contrast,A,source,stadium,0.205,0.2816031277179718
DIOR,contrast,A,source,storagetank,0.466,0.2816031277179718
DIOR,contrast,A,source,tenniscourt,0.606,0.2816031277179718
DIOR,contrast,A,source,trainstation,0.08,0.2816031277179718
DIOR,contrast,A,source,vehicle,0.284,0.2816031277179718
DIOR,contrast,A,source,windmill,0.161,0.2816031277179718
DIOR,contrast,B,ema,airplane,0.49,0.28456738591194153
DIOR,contrast,B,ema,airport,0.011,0.28456738591194153
DIOR,contrast,B,ema,baseballfield,0.525,0.28456738591194153
DIOR,contrast,B,ema,basketballcourt,0.359,0.28456738591194153
DIOR,contrast,B,ema,bridge,0.113,0.28456738591194153
DIOR,contrast,B,ema,chimney,0.385,0.28456738591194153
DIOR,contrast,B,ema,expressway-service-area,0.237,0.28456738591194153
DIOR,contrast,B,ema,expressway-toll-station,0.197,0.28456738591194153
DIOR,contrast,B,ema,dam,0.091,0.28456738591194153
DIOR,contrast,B,ema,golffield,0.239,0.28456738591194153
DIOR,contrast,B,ema,groundtrackfield,0.232,0.28456738591194153
DIOR,contrast,B,ema,harbor,0.134,0.28456738591194153
DIOR,contrast,B,ema,overpass,0.161,0.28456738591194153
DIOR,contrast,B,ema,ship,0.677,0.28456738591194153
DIOR,contrast,B,ema,stadium,0.22,0.28456738591194153
DIOR,contrast,B,ema,storagetank,0.463,0.28456738591194153
DIOR,contrast,B,ema,tenniscourt,0.611,0.28456738591194153
DIOR,contrast,B,ema,trainstation,0.083,0.28456738591194153
DIOR,contrast,B,ema,vehicle,0.286,0.28456738591194153
DIOR,contrast,B,ema,windmill,0.177,0.28456738591194153
DIOR,contrast,C,ema,airplane,0.487,0.28470754623413086
DIOR,contrast,C,ema,airport,0.01,0.28470754623413086
DIOR,contrast,C,ema,baseballfield,0.525,0.28470754623413086
DIOR,contrast,C,ema,basketballcourt,0.357,0.28470754623413086
DIOR,contrast,C,ema,bridge,0.07,0.28470754623413086
DIOR,contrast,C,ema,chimney,0.393,0.28470754623413086
DIOR,contrast,C,ema,expressway-service-area,0.249,0.28470754623413086
DIOR,contrast,C,ema,expressway-toll-station,0.196,0.28470754623413086
DIOR,contrast,C,ema,dam,0.091,0.28470754623413086
DIOR,contrast,C,ema,golffield,0.244,0.28470754623413086
DIOR,contrast,C,ema,groundtrackfield,0.235,0.28470754623413086
DIOR,contrast,C,ema,harbor,0.137,0.28470754623413086
DIOR,contrast,C,ema,overpass,0.166,0.28470754623413086
DIOR,contrast,C,ema,ship,0.674,0.28470754623413086
DIOR,contrast,C,ema,stadium,0.232,0.28470754623413086
DIOR,contrast,C,ema,storagetank,0.46,0.28470754623413086
DIOR,contrast,C,ema,tenniscourt,0.611,0.28470754623413086
DIOR,contrast,C,ema,trainstation,0.091,0.28470754623413086
DIOR,contrast,C,ema,vehicle,0.288,0.28470754623413086
DIOR,contrast,C,ema,windmill,0.178,0.28470754623413086
DIOR,contrast,D,ema,airplane,0.475,0.27767622470855713
DIOR,contrast,D,ema,airport,0.005,0.27767622470855713
DIOR,contrast,D,ema,baseballfield,0.521,0.27767622470855713
DIOR,contrast,D,ema,basketballcourt,0.355,0.27767622470855713
DIOR,contrast,D,ema,bridge,0.07,0.27767622470855713
DIOR,contrast,D,ema,chimney,0.374,0.27767622470855713
DIOR,contrast,D,ema,expressway-service-area,0.232,0.27767622470855713
DIOR,contrast,D,ema,expressway-toll-station,0.191,0.27767622470855713
DIOR,contrast,D,ema,dam,0.091,0.27767622470855713
DIOR,contrast,D,ema,golffield,0.207,0.27767622470855713
DIOR,contrast,D,ema,groundtrackfield,0.236,0.27767622470855713
DIOR,contrast,D,ema,harbor,0.121,0.27767622470855713
DIOR,contrast,D,ema,overpass,0.165,0.27767622470855713
DIOR,contrast,D,ema,ship,0.67,0.27767622470855713
DIOR,contrast,D,ema,stadium,0.222,0.27767622470855713
DIOR,contrast,D,ema,storagetank,0.461,0.27767622470855713
DIOR,contrast,D,ema,tenniscourt,0.613,0.27767622470855713
DIOR,contrast,D,ema,trainstation,0.085,0.27767622470855713
DIOR,contrast,D,ema,vehicle,0.282,0.27767622470855713
DIOR,contrast,D,ema,windmill,0.175,0.27767622470855713
DIOR,contrast,E,ema,airplane,0.488,0.28468215465545654
DIOR,contrast,E,ema,airport,0.011,0.28468215465545654
DIOR,contrast,E,ema,baseballfield,0.525,0.28468215465545654
DIOR,contrast,E,ema,basketballcourt,0.358,0.28468215465545654
DIOR,contrast,E,ema,bridge,0.112,0.28468215465545654
DIOR,contrast,E,ema,chimney,0.391,0.28468215465545654
DIOR,contrast,E,ema,expressway-service-area,0.236,0.28468215465545654
DIOR,contrast,E,ema,expressway-toll-station,0.201,0.28468215465545654
DIOR,contrast,E,ema,dam,0.091,0.28468215465545654
DIOR,contrast,E,ema,golffield,0.237,0.28468215465545654
DIOR,contrast,E,ema,groundtrackfield,0.224,0.28468215465545654
DIOR,contrast,E,ema,harbor,0.135,0.28468215465545654
DIOR,contrast,E,ema,overpass,0.163,0.28468215465545654
DIOR,contrast,E,ema,ship,0.676,0.28468215465545654
DIOR,contrast,E,ema,stadium,0.222,0.28468215465545654
DIOR,contrast,E,ema,storagetank,0.462,0.28468215465545654
DIOR,contrast,E,ema,tenniscourt,0.611,0.28468215465545654
DIOR,contrast,E,ema,trainstation,0.085,0.28468215465545654
DIOR,contrast,E,ema,vehicle,0.286,0.28468215465545654
DIOR,contrast,E,ema,windmill,0.179,0.28468215465545654
DIOR,contrast,F,ema,airplane,0.476,0.2824195623397827
DIOR,contrast,F,ema,airport,0.006,0.2824195623397827
DIOR,contrast,F,ema,baseballfield,0.524,0.2824195623397827
DIOR,contrast,F,ema,basketballcourt,0.361,0.2824195623397827
DIOR,contrast,F,ema,bridge,0.112,0.2824195623397827
DIOR,contrast,F,ema,chimney,0.379,0.2824195623397827
DIOR,contrast,F,ema,expressway-service-area,0.242,0.2824195623397827
DIOR,contrast,F,ema,expressway-toll-station,0.193,0.2824195623397827
DIOR,contrast,F,ema,dam,0.091,0.2824195623397827
DIOR,contrast,F,ema,golffield,0.218,0.2824195623397827
DIOR,contrast,F,ema,groundtrackfield,0.238,0.2824195623397827
DIOR,contrast,F,ema,harbor,0.129,0.2824195623397827
DIOR,contrast,F,ema,overpass,0.167,0.2824195623397827
DIOR,contrast,F,ema,ship,0.671,0.2824195623397827
DIOR,contrast,F,ema,stadium,0.221,0.2824195623397827
DIOR,contrast,F,ema,storagetank,0.457,0.2824195623397827
DIOR,contrast,F,ema,tenniscourt,0.613,0.2824195623397827
DIOR,contrast,F,ema,trainstation,0.091,0.2824195623397827
DIOR,contrast,F,ema,vehicle,0.283,0.2824195623397827
DIOR,contrast,F,ema,windmill,0.177,0.2824195623397827
